name_of_drug,use_case_for_drug,review_by_patient
Linzess,Irritable Bowel Syndrome,"""37 yr old f..Suffered with ibsc going on 2y now.1st prescription of lizness for this issue this week (was trying otc products, they stopped working) all I gotta say is I can&#039;t complain about side effects or cost because I feel myself again FINALLY! My symptoms have caused me to become unreliable I just quit planning period,lost weight (gradually went to 112 from 130..now I&#039;m 119 before linzess)taken 2 doses so far..have some gas/rumbling but no bloating yet. Have to take it in evening due to work sch..I don&#039;t think I will need it every day but will take it every day the 1st week just to see how it does. It would be good if ins covered..this is a REAL DEBILITATING ISSUE! I wish they new what causes IBS and I pray this med cont to work!☺"""
Copper,Birth Control,"""When I was first considering birth control I chose this one because it was more reliable and long term. I am only 18 and am not looking to have a baby any time soon, so I thought it would be a good idea. The insertion was painful, but it only lasted for a minute or 2. After, it was uncomfortable and the cramps were so bad. But I didn&#039;t mind since my usual periods consist of painful cramps. I did a follow up 6 weeks later and everything was good. My periods are longer now, but only by 3 or 4 more days. I get some pains here and there and spotting at random times. The only thing that&#039;s difficult is checking the strings. But overall a great choice, no more pregnancy scares. I forget it&#039;s even there sometimes which is great"""
Exemestane,Breast Cance,"""This drug was the worst by far. Diagnosed almost 9 years ago in 2008. On tamoxifen for two years-had a hysterectomy-on Arimidex for five years. I thought after seven years I would not have to take anything. Dr said new research and I should take a drug for 10 years. Didn&#039;t want to go back on Arimidex because of the horrible side effects. On tamoxifen again for one year and developed a vetreous detachment in my eye-after research on my part could&#039;ve been linked to the tamoxifen. I went off that and started taking Exemestane. On for three weeks and had terrible backache, nausea, acid reflux, cracking bones, and horrible depression.  I won&#039;t take it again for only a 2% increase in survival"""
Fluconazole,Vaginal Yeast Infection,"""This was my first yeast infection. The pill worked really well and felt immediate relief. Had vomiting the next day and nausea which is apparently a rare side effect.. but it got the job done."""
Medroxyprogesterone,Birth Control,"""I took the depo shot twice, one shot every 3 months, right after highschool. While I did not get pregnant i gained 50 pounds. I had always been a tiny person. I was 100 pounds when I graduated and after that 6 months I was 150. No change in diet and I was actually more active. AFTER I decided to get off of it I was unable to lose the weight and I didn&#039;t get my period for 9 months and was not abe to get pregnant for a year and 9 months, which actually was failed (blighted ovum) and I finally am pregnant 2 and a half years later. All from 2 shots. My whole life I had very regular light periods.  After the shot they were random and fluctuated in flow from heavy to only spotting.  I would never recommend this birth control."""
Tapentadol,Pain,"""Nucynta has worked very well for all my aches and pain, from the most severe to those I didn&#039;t even know I had.  At first, it did make me groggy which was a problem, but I kept taking it anyway because it did take away most of my pain.  After a couple of months of use, it takes away my pain, just like it did at the beginning, but I no longer feel sleepy.  I feel energetic, happier and am able very active because I hardly feel any pain.  I highly recommend it, but you do have to give it a chance because once your body adapts to it, the adverse effects far outweigh the benefits."""
Victrelis,Hepatitis C,"""I did the triple combination for 6 months.  I cleared the virus at week 4. """
Loteprednol / tobramycin,"Conjunctivitis, Bacterial","""Works Like A Miracle! Quick Pain and Redness Relief!"""
Lorcaserin,Weight Loss,"""I started taking Belviq about 3 weeks ago after my doctor recommended I lose weight. I have to admit the first week I was starving while taking Belviq. I also started the paleo diet and increased my water to 84oz a day. (most days..lol) and 20 min of activity 5-6 days a week. I lost 3lbs the first week. I have continued to lose weight due to the combination of the low carb and the Belviq. I do not feel it is suppressing my appetite but I believe it is assisting in my weight loss. I seem to be burning more calories and I rarely have cravings. I do have a one carb treat once a week to treat myself and then I get right back on track. (sometimes a girl wants chocolate or cheesecake or BOTH). I am pleased with the results so far. I feel better."""
Xolair,"Asthma, Maintenance","""This is my 1st shot but I noticed a marked improvement. From 20 attacks a day down to 6. Was scared to try this medicine because I&#039;m allergic to a lot of medicines, food, etc. After the shot I experienced itching at injection site, sleepiness that lasted for 4 hrs. After that I felt energetic and a lessening in all over body pain. That night I slept through without any asthma attack, it appears to also be suppressing my Lupus. It is so great not to constantly have pain and an inhaler in my mouth and be able to walk more than 3 ft and stop for breath. Can&#039;t wait for my 2nd shot, I almost feel back to normal. Thank you for creating this medicine just wish it was cheaper."""
Atarax,Anxiety,"""Im 18, and I&#039;ve never been on medications before... i have performance- and social anxiety. So when i went to my doctors and asked for something to help me survive my everyday life, he recommended Atarax. But i have been taking them for 2 weeks now with no effect what so ever... granted, they are only 10 mg and small as a breadcrumb, but i was at least expecting some effect from it. The only thing i felt was nausea and dizziness.... must say im quite disappointed """
Buprenorphine / naloxone,Opiate Dependence,"""A friend told me told me to cut the sheets into quarters. So I did. I forgot to mention in my last post that I am 29 now.  Anyway, I have only take 2 quarters of a sheet today and I feel great.  No withdrawals and no thoughts or wants for pain pills.  I actually took 5 lortabs to work with me yesterday just in case the Suboxone did not work.  I was very comfortable with flushing them down the toilet this morning.  I am so thankful for Suboxone.  Life is already 100% better and I am sure it will get better.  The only side effect is that it was difficult to go to sleep last night.  Suboxone is a life saver and I would recommend it to anybody."""
